"","District","Year","0...04 yrs","05...09 yrs","10...14 yrs","15...19 yrs","20...24 yrs","25...49 yrs","50...64 yrs","65+ yrs","Province"
"123","Anuradhapura",2021,81897,82069,76988,77204,71864,339429,149757,74792,"North_Central"
"124","Trincomalee",2021,37858,37938,35589,35688,33220,156906,69227,34574,"Eastern"
"125","Polonnaruwa",2021,38459,38540,36154,36255,33748,159396,70326,35123,"North_Central"
"126","Gampaha",2022,209472,209802,196827,197376,183741,867686,382987,191109,"Western"
"127","Nuwara Eliya",2022,67247,67353,63188,63364,58987,278556,122952,61352,"Central"
"128","Galle",2022,98509,98664,92563,92821,86409,408051,180109,89874,"Southern"
"129","Kilinochchi",2022,11594,11613,10894,10925,10170,48027,21199,10578,"Northen"
"130","Matale",2022,45519,45590,42771,42890,39927,188550,83224,41528,"Central"
"131","Hambantota",2022,58487,58579,54956,55110,51303,242269,106935,53360,"Southern"
"132","Jaffna",2022,54021,54106,50760,50902,47386,223770,98770,49286,"Northen"
"133","Colombo",2022,212821,213156,199974,200532,186680,881561,389111,194165,"Western"
"134","Matara",2022,75063,75181,70532,70729,65843,310930,137241,68483,"Southern"
"135","Mannar",2022,9877,9892,9280,9306,8663,40912,18058,9011,"Northen"
"136","Kaluthara",2022,110963,111137,104264,104555,97332,459635,202878,101235,"Western"
"137","Anuradhapura",2022,82191,82321,77230,77445,72095,340457,150274,74986,"North_Central"
"138","Ratnapura",2022,102460,102621,96275,96544,89874,424416,187332,93478,"Sabaragamuwa"
"139","Batticaloa",2022,50672,50752,47613,47746,44448,209895,92646,46230,"Eastern"
"140","Puttalam",2022,73002,73117,68595,68786,64035,302392,133472,66602,"North_Western"
"141","Moneragala",2022,43715,43784,41076,41191,38345,181079,79926,39883,"Uva"
"142","Mullaitivu",2022,8503,8516,7989,8012,7458,35220,15546,7757,"Northen"
"143","Kurunegala",2022,149610,149846,140579,140972,131233,619725,273540,136495,"North_Western"
"144","Badulla",2022,77210,77332,72549,72752,67726,319824,141167,70441,"Uva"
"145","Vavuniya",2022,16747,16774,15736,15780,14690,69372,30620,15279,"Northen"
"146","Kandy",2022,128741,128943,120969,121307,112927,533277,235382,117455,"Central"
"147","Polonnaruwa",2022,38562,38623,36234,36335,33825,159734,70505,35182,"North_Central"
"148","Kegalle",2022,77124,77246,72468,72671,67651,319468,141010,70363,"Sabaragamuwa"
"149","Ampara",2022,64757,64859,60848,61018,56802,268239,118398,59080,"Eastern"
"150","Trincomalee",2022,38133,38193,35831,35931,33449,157955,69720,34790,"Eastern"
"151","Kaluthara",2023,109867,110041,103251,103483,96344,455024,200756,100233,"Western"
"152","Kilinochchi",2023,11683,11701,10979,11004,10245,48384,21347,10658,"Northen"
"153","Gampaha",2023,207966,208296,195442,195882,182369,861308,380008,189729,"Western"
"154","Nuwara Eliya",2023,67089,67195,63048,63190,58831,277853,122588,61206,"Central"
"155","Galle",2023,97841,97996,91949,92156,85798,405217,178781,89261,"Southern"
